month,year,MAS Core Inflation Measure,Date
1,1990,61.59,31/1/1990
2,1990,61.699,28/2/1990
3,1990,61.478,31/3/1990
4,1990,61.864,30/4/1990
5,1990,61.992,31/5/1990
6,1990,61.988,30/6/1990
7,1990,61.924,31/7/1990
8,1990,61.915,31/8/1990
9,1990,61.841,30/9/1990
10,1990,62.408,31/10/1990
11,1990,62.98,30/11/1990
12,1990,63.447,31/12/1990
1,1991,63.559,31/1/1991
2,1991,64.02,28/2/1991
3,1991,63.912,31/3/1991
4,1991,64.233,30/4/1991
5,1991,64.324,31/5/1991
6,1991,64.351,30/6/1991
7,1991,64.458,31/7/1991
8,1991,64.406,31/8/1991
9,1991,64.532,30/9/1991
10,1991,64.633,31/10/1991
11,1991,64.674,30/11/1991
12,1991,65.2,31/12/1991
1,1992,65.061,31/1/1992
2,1992,65.089,29/2/1992
3,1992,64.965,31/3/1992
4,1992,65.206,30/4/1992
5,1992,65.44,31/5/1992
6,1992,65.43,30/6/1992
7,1992,65.579,31/7/1992
8,1992,65.402,31/8/1992
9,1992,65.459,30/9/1992
10,1992,65.56,31/10/1992
11,1992,65.709,30/11/1992
12,1992,65.874,31/12/1992
1,1993,66.46,31/1/1993
2,1993,66.083,28/2/1993
3,1993,66.211,31/3/1993
4,1993,66.322,30/4/1993
5,1993,66.507,31/5/1993
6,1993,66.487,30/6/1993
7,1993,66.786,31/7/1993
8,1993,66.651,31/8/1993
9,1993,66.59,30/9/1993
10,1993,66.738,31/10/1993
11,1993,66.892,30/11/1993
12,1993,67.013,31/12/1993
1,1994,67.244,31/1/1994
2,1994,67.704,28/2/1994
3,1994,67.474,31/3/1994
4,1994,67.849,30/4/1994
5,1994,68.146,31/5/1994
6,1994,68.442,30/6/1994
7,1994,68.562,31/7/1994
8,1994,68.601,31/8/1994
9,1994,68.57,30/9/1994
10,1994,68.72,31/10/1994
11,1994,68.829,30/11/1994
12,1994,68.816,31/12/1994
1,1995,69.28,31/1/1995
2,1995,69.524,28/2/1995
3,1995,69.364,31/3/1995
4,1995,69.627,30/4/1995
5,1995,69.736,31/5/1995
6,1995,69.757,30/6/1995
7,1995,69.787,31/7/1995
8,1995,69.9,31/8/1995
9,1995,69.898,30/9/1995
10,1995,69.893,31/10/1995
11,1995,70.118,30/11/1995
12,1995,70.039,31/12/1995
1,1996,70.228,31/1/1996
2,1996,70.913,29/2/1996
3,1996,70.512,31/3/1996
4,1996,70.72,30/4/1996
5,1996,70.943,31/5/1996
6,1996,71.034,30/6/1996
7,1996,71.076,31/7/1996
8,1996,71.212,31/8/1996
9,1996,71.221,30/9/1996
10,1996,71.214,31/10/1996
11,1996,71.384,30/11/1996
12,1996,71.511,31/12/1996
1,1997,71.521,31/1/1997
2,1997,72.092,28/2/1997
3,1997,71.674,31/3/1997
4,1997,71.794,30/4/1997
5,1997,71.815,31/5/1997
6,1997,71.812,30/6/1997
7,1997,72.019,31/7/1997
8,1997,72.352,31/8/1997
9,1997,72.547,30/9/1997
10,1997,72.407,31/10/1997
11,1997,72.528,30/11/1997
12,1997,72.533,31/12/1997
1,1998,72.914,31/1/1998
2,1998,72.816,28/2/1998
3,1998,72.413,31/3/1998
4,1998,72.457,30/4/1998
5,1998,72.209,31/5/1998
6,1998,72.102,30/6/1998
7,1998,72.196,31/7/1998
8,1998,72.236,31/8/1998
9,1998,72.251,30/9/1998
10,1998,72.192,31/10/1998
11,1998,72.44,30/11/1998
12,1998,72.291,31/12/1998
1,1999,72.604,31/1/1999
2,1999,72.729,28/2/1999
3,1999,72.429,31/3/1999
4,1999,72.717,30/4/1999
5,1999,72.802,31/5/1999
6,1999,72.634,30/6/1999
7,1999,72.926,31/7/1999
8,1999,72.859,31/8/1999
9,1999,72.765,30/9/1999
10,1999,72.691,31/10/1999
11,1999,72.808,30/11/1999
12,1999,72.872,31/12/1999
1,2000,73.291,31/1/2000
2,2000,73.645,29/2/2000
3,2000,73.356,31/3/2000
4,2000,73.388,30/4/2000
5,2000,73.28,31/5/2000
6,2000,73.362,30/6/2000
7,2000,73.76,31/7/2000
8,2000,74.22,31/8/2000
9,2000,74.147,30/9/2000
10,2000,74.186,31/10/2000
11,2000,74.53,30/11/2000
12,2000,74.647,31/12/2000
1,2001,75.12,31/1/2001
2,2001,74.981,28/2/2001
3,2001,75.034,31/3/2001
4,2001,75.293,30/4/2001
5,2001,74.958,31/5/2001
6,2001,74.752,30/6/2001
7,2001,75.135,31/7/2001
8,2001,75.064,31/8/2001
9,2001,74.937,30/9/2001
10,2001,74.82,31/10/2001
11,2001,74.791,30/11/2001
12,2001,74.698,31/12/2001
1,2002,74.552,31/1/2002
2,2002,74.798,28/2/2002
3,2002,74.665,31/3/2002
4,2002,74.72,30/4/2002
5,2002,74.935,31/5/2002
6,2002,74.938,30/6/2002
7,2002,75.036,31/7/2002
8,2002,74.973,31/8/2002
9,2002,75.009,30/9/2002
10,2002,74.983,31/10/2002
11,2002,75.219,30/11/2002
12,2002,75.292,31/12/2002
1,2003,75.552,31/1/2003
2,2003,75.321,28/2/2003
3,2003,75.472,31/3/2003
4,2003,75.833,30/4/2003
5,2003,75.31,31/5/2003
6,2003,75.001,30/6/2003
7,2003,75.6,31/7/2003
8,2003,75.719,31/8/2003
9,2003,75.872,30/9/2003
10,2003,75.829,31/10/2003
11,2003,75.954,30/11/2003
12,2003,76.111,31/12/2003
1,2004,76.805,31/1/2004
2,2004,76.882,29/2/2004
3,2004,76.976,31/3/2004
4,2004,77.063,30/4/2004
5,2004,77.125,31/5/2004
6,2004,76.987,30/6/2004
7,2004,77.118,31/7/2004
8,2004,77.054,31/8/2004
9,2004,77.38,30/9/2004
10,2004,77.367,31/10/2004
11,2004,77.47,30/11/2004
12,2004,77.398,31/12/2004
1,2005,77.591,31/1/2005
2,2005,77.656,28/2/2005
3,2005,77.796,31/3/2005
4,2005,77.804,30/4/2005
5,2005,77.753,31/5/2005
6,2005,77.569,30/6/2005
7,2005,77.996,31/7/2005
8,2005,78.242,31/8/2005
9,2005,78.289,30/9/2005
10,2005,78.719,31/10/2005
11,2005,78.887,30/11/2005
12,2005,78.95,31/12/2005
1,2006,79.38,31/1/2006
2,2006,79.23,28/2/2006
3,2006,79.217,31/3/2006
4,2006,79.18,30/4/2006
5,2006,79.069,31/5/2006
6,2006,78.956,30/6/2006
7,2006,79.347,31/7/2006
8,2006,79.468,31/8/2006
9,2006,79.475,30/9/2006
10,2006,79.778,31/10/2006
11,2006,80.019,30/11/2006
12,2006,80.217,31/12/2006
1,2007,80.287,31/1/2007
2,2007,80.351,28/2/2007
3,2007,80.229,31/3/2007
4,2007,80.131,30/4/2007
5,2007,80.201,31/5/2007
6,2007,80.21,30/6/2007
7,2007,81.309,31/7/2007
8,2007,81.5,31/8/2007
9,2007,81.669,30/9/2007
10,2007,82.123,31/10/2007
11,2007,82.606,30/11/2007
12,2007,83.724,31/12/2007
1,2008,84.287,31/1/2008
2,2008,84.582,29/2/2008
3,2008,84.729,31/3/2008
4,2008,85.276,30/4/2008
5,2008,85.377,31/5/2008
6,2008,85.425,30/6/2008
7,2008,85.904,31/7/2008
8,2008,86.226,31/8/2008
9,2008,86.252,30/9/2008
10,2008,87.144,31/10/2008
11,2008,87.177,30/11/2008
12,2008,87.25,31/12/2008
1,2009,86.568,31/1/2009
2,2009,86.211,28/2/2009
3,2009,86.33,31/3/2009
4,2009,85.495,30/4/2009
5,2009,85.305,31/5/2009
6,2009,85.171,30/6/2009
7,2009,85.451,31/7/2009
8,2009,85.51,31/8/2009
9,2009,85.491,30/9/2009
10,2009,85.933,31/10/2009
11,2009,85.937,30/11/2009
12,2009,85.992,31/12/2009
1,2010,86.099,31/1/2010
2,2010,86.565,28/2/2010
3,2010,86.64,31/3/2010
4,2010,86.834,30/4/2010
5,2010,86.779,31/5/2010
6,2010,86.657,30/6/2010
7,2010,87.175,31/7/2010
8,2010,87.515,31/8/2010
9,2010,87.498,30/9/2010
10,2010,87.629,31/10/2010
11,2010,87.81,30/11/2010
12,2010,87.799,31/12/2010
1,2011,87.821,31/1/2011
2,2011,88.101,28/2/2011
3,2011,88.21,31/3/2011
4,2011,88.736,30/4/2011
5,2011,88.63,31/5/2011
6,2011,88.63,30/6/2011
7,2011,89.054,31/7/2011
8,2011,89.409,31/8/2011
9,2011,89.378,30/9/2011
10,2011,89.646,31/10/2011
11,2011,89.904,30/11/2011
12,2011,90.122,31/12/2011
1,2012,90.903,31/1/2012
2,2012,90.71,29/2/2012
3,2012,90.804,31/3/2012
4,2012,91.131,30/4/2012
5,2012,91.02,31/5/2012
6,2012,90.99,30/6/2012
7,2012,91.196,31/7/2012
8,2012,91.421,31/8/2012
9,2012,91.519,30/9/2012
10,2012,91.653,31/10/2012
11,2012,91.679,30/11/2012
12,2012,91.835,31/12/2012
1,2013,92.005,31/1/2013
2,2013,92.407,28/2/2013
3,2013,92.325,31/3/2013
4,2013,92.372,30/4/2013
5,2013,92.523,31/5/2013
6,2013,92.535,30/6/2013
7,2013,92.624,31/7/2013
8,2013,93.046,31/8/2013
9,2013,93.078,30/9/2013
10,2013,93.33,31/10/2013
11,2013,93.631,30/11/2013
12,2013,93.715,31/12/2013
1,2014,94.086,31/1/2014
2,2014,94.02,28/2/2014
3,2014,94.224,31/3/2014
4,2014,94.539,30/4/2014
5,2014,94.6,31/5/2014
6,2014,94.489,30/6/2014
7,2014,94.679,31/7/2014
8,2014,94.873,31/8/2014
9,2014,94.726,30/9/2014
10,2014,94.951,31/10/2014
11,2014,94.958,30/11/2014
12,2014,95.141,31/12/2014
1,2015,94.997,31/1/2015
2,2015,95.283,28/2/2015
3,2015,95.206,31/3/2015
4,2015,94.95,30/4/2015
5,2015,94.694,31/5/2015
6,2015,94.663,30/6/2015
7,2015,95.033,31/7/2015
8,2015,95.104,31/8/2015
9,2015,95.28,30/9/2015
10,2015,95.199,31/10/2015
11,2015,95.12,30/11/2015
12,2015,95.384,31/12/2015
1,2016,95.363,31/1/2016
2,2016,95.726,29/2/2016
3,2016,95.734,31/3/2016
4,2016,95.727,30/4/2016
5,2016,95.662,31/5/2016
6,2016,95.694,30/6/2016
7,2016,95.966,31/7/2016
8,2016,96.061,31/8/2016
9,2016,96.149,30/9/2016
10,2016,96.239,31/10/2016
11,2016,96.311,30/11/2016
12,2016,96.561,31/12/2016
1,2017,96.763,31/1/2017
2,2017,96.836,28/2/2017
3,2017,96.883,31/3/2017
4,2017,97.332,30/4/2017
5,2017,97.177,31/5/2017
6,2017,97.171,30/6/2017
7,2017,97.475,31/7/2017
8,2017,97.444,31/8/2017
9,2017,97.555,30/9/2017
10,2017,97.705,31/10/2017
11,2017,97.743,30/11/2017
12,2017,97.837,31/12/2017
1,2018,98.112,31/1/2018
2,2018,98.507,28/2/2018
3,2018,98.356,31/3/2018
4,2018,98.613,30/4/2018
5,2018,98.627,31/5/2018
6,2018,98.812,30/6/2018
7,2018,99.311,31/7/2018
8,2018,99.312,31/8/2018
9,2018,99.345,30/9/2018
10,2018,99.527,31/10/2018
11,2018,99.389,30/11/2018
12,2018,99.682,31/12/2018
1,2019,99.961,31/1/2019
2,2019,100.21,28/2/2019
3,2019,100.03,31/3/2019
4,2019,100.027,30/4/2019
5,2019,99.879,31/5/2019
6,2019,99.899,30/6/2019
7,2019,99.881,31/7/2019
8,2019,99.961,31/8/2019
9,2019,99.936,30/9/2019
10,2019,100.013,31/10/2019
11,2019,99.952,30/11/2019
12,2019,100.253,31/12/2019
1,2020,100.276,31/1/2020
2,2020,100.142,29/2/2020
3,2020,99.865,31/3/2020
4,2020,99.766,30/4/2020
5,2020,99.703,31/5/2020
6,2020,99.72,30/6/2020
7,2020,99.505,31/7/2020
8,2020,99.654,31/8/2020
9,2020,99.818,30/9/2020
10,2020,99.839,31/10/2020
11,2020,99.873,30/11/2020
12,2020,99.977,31/12/2020
1,2021,100.121,31/1/2021
2,2021,100.321,28/2/2021
3,2021,100.357,31/3/2021
4,2021,100.368,30/4/2021
